internet
passwort
computer
steckdose
montag
dienstag
mittwoch
donnerstag
freitag
samstag
sonntag
tag
woche
apfel
haus
schule
katze
hund
tisch
stuhl
fenster
garten
blume
baum
auto
fahrrad
strasse
zug
uhr
buch
heft
stift
papier
lehrer
freund
familie
kind
mutter
vater
oma
opa
bruder
schwester
kleid
jacke
hose
schuh
telefon
computer
lampe
bett
sofa
bad
essen
wasser
brot
milch
kaffee
tee
zucker
salz
messer
gabel
glas
teller
topf
pfanne
fenster
licht
kerze
stuhl
schrank
bild
wand
decke
boden
spiel
spielzeug
zirkus
theater
kino
museum
markt
laden
frage
antwort
sprache
name
zahl
farbe
tag
nacht
sommer
winter
regen
schnee
wind
himmel
stern
mond
sonne
uhrzeit
minute
sekunde
zeit
traum
weg
ziel
idee
arbeit
urlaub
musik
ton
